z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_design,v_design_m_s,delta_eff_MHz
4.948749999999999677e-02,4.948749999999999538e+00,-3.435785234426046077e-03,-3.435785234426046220e+00,6.254758064516129146e+00,9.570534283223288696e-01,4.890277467502543440e-01,2.585223397486668659e+02,0.000000000000000000e+00
4.957999999999999907e-02,4.958000000000000185e+00,-3.419137582320608010e-03,-3.419137582320607827e+00,6.255354838709677345e+00,9.568708271563266532e-01,4.889800664803339303e-01,2.584293942072795858e+02,0.000000000000000000e+00
4.967250000000000137e-02,4.967249999999999943e+00,-3.402485564664444340e-03,-3.402485564664444517e+00,6.255951612903225545e+00,9.566882782444682265e-01,4.889323909594862072e-01,2.583364242925769076e+02,0.000000000000000000e+00
4.976499999999999674e-02,4.976499999999999702e+00,-3.385829176580814129e-03,-3.385829176580814170e+00,6.256548387096773745e+00,9.565057815668183139e-01,4.888847201876524995e-01,2.582434299773314592e+02,0.000000000000000000e+00
4.985749999999999904e-02,4.985749999999999460e+00,-3.369168413184719154e-03,-3.369168413184719046e+00,6.257145161290322832e+00,9.563233371034500774e-01,4.888370541647736878e-01,2.581504112342698249e+02,0.000000000000000000e+00
4.995000000000000134e-02,4.995000000000000107e+00,-3.352503269582881359e-03,-3.352503269582881362e+00,6.257741935483871032e+00,9.561409448344471151e-01,4.887893928907907082e-01,2.580573680360723188e+02,0.000000000000000000e+00
5.004249999999999671e-02,5.004249999999999865e+00,-3.335833740873720733e-03,-3.335833740873720643e+00,6.258338709677420120e+00,9.559586047399015740e-01,4.887417363656438307e-01,2.579643003553729272e+02,0.000000000000000000e+00
5.013499999999999901e-02,5.013499999999999623e+00,-3.319159822147345340e-03,-3.319159822147345285e+00,6.258935483870967431e+00,9.557763167999162590e-01,4.886940845892736029e-01,2.578712081647591958e+02,0.000000000000000000e+00
5.022750000000000131e-02,5.022750000000000270e+00,-3.302481508485485395e-03,-3.302481508485485495e+00,6.259532258064515631e+00,9.555940809946027459e-01,4.886464375616200173e-01,2.577780914367719447e+02,0.000000000000000000e+00
5.031999999999999668e-02,5.032000000000000028e+00,-3.285798794961554848e-03,-3.285798794961555025e+00,6.260129032258063830e+00,9.554118973040814922e-01,4.885987952826225666e-01,2.576849501439055530e+02,0.000000000000000000e+00
5.041249999999999898e-02,5.041249999999999787e+00,-3.269111676640561182e-03,-3.269111676640561015e+00,6.260725806451613806e+00,9.552297657084825033e-01,4.885511577522207993e-01,2.575917842586074471e+02,0.000000000000000000e+00
5.050500000000000128e-02,5.050500000000000433e+00,-3.252420148579103672e-03,-3.252420148579103554e+00,6.261322580645162006e+00,9.550476861879477752e-01,4.885035249703544302e-01,2.574985937532781008e+02,0.000000000000000000e+00
5.059749999999999664e-02,5.059749999999999304e+00,-3.235724205825392039e-03,-3.235724205825392108e+00,6.261919354838710206e+00,9.548656587226252990e-01,4.884558969369621750e-01,2.574053786002711490e+02,0.000000000000000000e+00
5.068999999999999895e-02,5.068999999999999950e+00,-3.219023843419172720e-03,-3.219023843419172692e+00,6.262516129032258405e+00,9.546836832926743899e-01,4.884082736519829160e-01,2.573121387718930464e+02,0.000000000000000000e+00
5.078250000000000125e-02,5.078249999999999709e+00,-3.202319056391711525e-03,-3.202319056391711438e+00,6.263112903225805717e+00,9.545017598782636892e-01,4.883606551153553132e-01,2.572188742404027835e+02,0.000000000000000000e+00
5.087499999999999661e-02,5.087499999999999467e+00,-3.185609839765837868e-03,-3.185609839765837670e+00,6.263709677419354804e+00,9.543198884595703868e-01,4.883130413270175274e-01,2.571255849780123413e+02,0.000000000000000000e+00
5.096749999999999892e-02,5.096750000000000114e+00,-3.168896188555845022e-03,-3.168896188555844873e+00,6.264306451612903004e+00,9.541380690167826639e-01,4.882654322869078301e-01,2.570322709568860091e+02,0.000000000000000000e+00
5.106000000000000122e-02,5.105999999999999872e+00,-3.152178097767520479e-03,-3.152178097767520448e+00,6.264903225806452092e+00,9.539563015300961402e-01,4.882178279949637711e-01,2.569389321491405553e+02,0.000000000000000000e+00
5.115249999999999658e-02,5.115249999999999631e+00,-3.135455562398105182e-03,-3.135455562398105300e+00,6.265500000000000291e+00,9.537745859797180925e-01,4.881702284511234002e-01,2.568455685268451134e+02,0.000000000000000000e+00
5.124499999999999889e-02,5.124500000000000277e+00,-3.118728577436267937e-03,-3.118728577436268079e+00,6.266096774193548491e+00,9.535929223458636805e-01,4.881226336553239342e-01,2.567521800620208978e+02,0.000000000000000000e+00
5.133750000000000119e-02,5.133750000000000036e+00,-3.101997137862137505e-03,-3.101997137862137599e+00,6.266693548387096691e+00,9.534113106087578338e-01,4.880750436075023679e-01,2.566587667266414314e+02,0.000000000000000000e+00
5.142999999999999655e-02,5.142999999999999794e+00,-3.085261238647172503e-03,-3.085261238647172721e+00,6.267290322580644890e+00,9.532297507486350296e-01,4.880274583075956962e-01,2.565653284926318634e+02,0.000000000000000000e+00
5.152249999999999885e-02,5.152249999999999552e+00,-3.068520874754258974e-03,-3.068520874754259165e+00,6.267887096774193090e+00,9.530482427457386274e-01,4.879798777555404699e-01,2.564718653318694805e+02,0.000000000000000000e+00
5.161500000000000116e-02,5.161500000000000199e+00,-3.051776041137634066e-03,-3.051776041137634010e+00,6.268483870967742178e+00,9.528667865803224224e-01,4.879323019512731840e-01,2.563783772161832530e+02,0.000000000000000000e+00
5.170749999999999652e-02,5.170749999999999957e+00,-3.035026732742827481e-03,-3.035026732742827527e+00,6.269080645161290377e+00,9.526853822326488697e-01,4.878847308947300010e-01,2.562848641173536066e+02,0.000000000000000000e+00
5.179999999999999882e-02,5.179999999999999716e+00,-3.018272944506741710e-03,-3.018272944506741773e+00,6.269677419354838577e+00,9.525040296829900832e-01,4.878371645858468608e-01,2.561913260071127070e+02,0.000000000000000000e+00
5.189250000000000113e-02,5.189250000000000362e+00,-3.001514671357527995e-03,-3.001514671357528030e+00,6.270274193548386776e+00,9.523227289116276140e-01,4.877896030245595371e-01,2.560977628571438913e+02,0.000000000000000000e+00
5.198499999999999649e-02,5.198499999999999233e+00,-2.984751908214640110e-03,-2.984751908214640093e+00,6.270870967741935864e+00,9.521414798988515615e-01,4.877420462108033039e-01,2.560041746390820094e+02,0.000000000000000000e+00
5.207749999999999879e-02,5.207749999999999879e+00,-2.967984649988758897e-03,-2.967984649988758772e+00,6.271467741935484952e+00,9.519602826249626837e-01,4.876944941445134352e-01,2.559105613245128268e+02,0.000000000000000000e+00
5.217000000000000109e-02,5.217000000000000526e+00,-2.951212891581818723e-03,-2.951212891581818543e+00,6.272064516129032263e+00,9.517791370702703979e-01,4.876469468256249828e-01,2.558169228849733372e+02,0.000000000000000000e+00
5.226249999999999646e-02,5.226249999999999396e+00,-2.934436627886953704e-03,-2.934436627886953808e+00,6.272661290322580463e+00,9.515980432150937807e-01,4.875994042540726658e-01,2.557232592919513650e+02,0.000000000000000000e+00
